model,val_roc_auc,train_roc_auc,val_accuracy,train_accuracy,val_f1_score,train_f1_score,features,preprocessing,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,splitter,bootstrap,max_samples,n_estimators,oob_score,algorithm,leaf_size,metric,metric_params,n_neighbors,p,weights,break_ties,cache_size,coef0,decision_function_shape,degree,gamma,kernel,probability,shrinking,alpha,average,early_stopping,epsilon,eta0,learning_rate,loss,n_iter_no_change,power_t,shuffle,validation_fraction,base_estimator,objective,use_label_encoder,base_score,booster,colsample_bylevel,colsample_bynode,colsample_bytree,gpu_id,importance_type,interaction_constraints,max_delta_step,min_child_weight,missing,monotone_constraints,num_parallel_tree,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity,eval_metric,class_prior,fit_prior,priors,var_smoothing,seed
XGBClassifier,0.9309610062452428,1.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11627724167275577,,,,,,,binary:logistic,,,,,,1.0,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
XGBClassifier,0.930902593108046,0.9999505306280168,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,0.4556813847731068,,,,,1.0,,,,,,1.24051284410568,1.0,,,,logloss,,,,,
XGBClassifier,0.9304553915776802,1.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1170874811776247,,,,,,,binary:logistic,,,,,,1.0,,,,,1.0,,,,,,2.0,1.0,,,,error,,,,,
XGBClassifier,0.9304380215648244,1.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12076128213512918,,,,,,,binary:logitraw,,,,,,1.0,,,,,1.0,,,,,,0.5,1.0,,,,error,,,,,
XGBClassifier,0.930340741531024,0.9994025193286178,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06191546785491297,,,,,,,binary:logistic,,,,,,0.5004165968279964,,,,,6.0,,,,,,1.9657627338006725,0.989860909736067,,,,logloss,,,,,
XGBClassifier,0.9301390158355068,1.0,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08821375571821878,,,,,,,binary:logistic,,,,,,1.0,,,,,1.0,,,,,,2.0,1.0,,,,logloss,,,,,
XGBClassifier,0.9301123570457231,0.9999607482826378,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0857805785319397,,,,,,,binary:logitraw,,,,,,0.3,,,,,1.0,,,,,,2.0,0.7265850921328377,,,,error,,,,,
XGBClassifier,0.9299351669909776,0.9999630837465512,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05192997762859782,,,,,,,binary:logitraw,,,,,,0.8602116430018439,,,,,1.0,,,,,,2.0,0.8490372823951283,,,,error,,,,,
XGBClassifier,0.9298358699656156,0.9999932590018864,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09042778429777573,,,,,,,binary:logistic,,,,,,0.3,,,,,1.0,,,,,,0.5,1.0,,,,logloss,,,,,
XGBClassifier,0.9297733166878452,1.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2559124040597672,,,,,,,binary:logistic,,,,,,0.40081498977734,,,,,1.0,,,,,,1.2888480765206902,0.9868945999811553,,,,logloss,,,,,
